Activity ID,Activity Name,WBS Category,Predecessors,Duration (days),Relationship,Role(s),Resource Equipment Required
E3,Excavate Foundation,1.2.1 Earthworks and Foundations,E2,14,FS,"Heavy Equipment Operator(s), Laborer(s)","Excavator, shoring equipment, soil disposal trucks, safety equipment."
F1,Procure Building Materials,1.2.2 Building Construction,"D1, D2, D3",21,FS,Procurement Specialist(s),"Procurement software, supplier databases, communication tools."
F2,Construct Building Foundations,1.2.2 Building Construction,"E3, F1",28,FS,"Construction Foreman, Carpenter(s), Concrete Worker(s), Laborer(s)","Formwork, concrete mixing equipment, reinforcement steel, pouring equipment, safety equipment."
F3,Erect Building Structure,1.2.2 Building Construction,F2,42,FS,"Construction Foreman, Steel Erector(s), Crane Operator(s), Ironworker(s)","Crane, steel beams and columns, welding equipment, bolting tools, safety equipment."
F4,Install MEP Systems,1.2.2 Building Construction,F3,35,FS,"Mechanical Engineer(s), Electrical Engineer(s), Plumber(s), HVAC Technician(s)","Ductwork, pipes, wiring, electrical panels, HVAC units, installation tools, safety equipment."
F5,Finish Building Interiors,1.2.2 Building Construction,F4,28,FS,"Interior Designer(s), Carpenter(s), Painter(s), Flooring Installer(s)","Finishing materials (drywall, paint, flooring), tools for installation, safety equipment."
G1,Excavate River and Lake Beds,1.2.3 River and Lake Installation,E3,21,FS,"Heavy Equipment Operator(s), Dredging Crew","Excavator, dredge, earthmoving equipment, trucks, safety equipment."
G2,Install River and Lake Liners,1.2.3 River and Lake Installation,G1,14,FS,"Liner Installation Crew, Seam Welder(s)","Geomembrane liners, welding equipment, seaming tools, safety equipment."
G3,Fill River and Lake Beds,1.2.3 River and Lake Installation,G2,14,FS,"Heavy Equipment Operator(s), Material Handler(s)","Fill material, trucks, compaction equipment."
G4,Landscape River and Lake Areas,1.2.3 River and Lake Installation,G3,21,FS,"Landscape Architect(s), Gardener(s), Laborer(s)","Plants, soil, mulch, landscaping tools, irrigation system components."
I1,Construct Roads,1.2.4 Transportation Facility Construction,E3,28,FS,"Road Construction Crew, Paving Crew","Graders, pavers, compactors, asphalt, concrete."
I2,Construct Walkways and Bike Paths,1.2.4 Transportation Facility Construction,E3,21,FS,"Paving Crew, Landscaping Crew","Pavers, concrete mixers, landscaping tools, signage."
I3,Install Public Transit Infrastructure,1.2.4 Transportation Facility Construction,E3,35,FS,"Civil Engineers, Construction Crew, Electrical Technicians","Construction equipment, electrical wiring, signaling equipment, station building materials."
J1,Assess Solar Panel Site Suitability,1.3.1 Solar Panel Site Selection,B3,7,FS,Solar Energy Analyst,"Site assessment tools, GIS software, environmental data."
J2,Select Optimal Solar Panel Locations,1.3.1 Solar Panel Site Selection,J1,7,FS,Solar Energy Engineer,"CAD software, solar modeling software."
K1,Procure Solar Panels,1.3.2 Solar Panel Installation,J2,14,FS,Procurement Specialist,"Supplier databases, procurement software."
K2,Install Solar Panels,1.3.2 Solar Panel Installation,K1,21,FS,"Solar Panel Installers, Electricians","Solar panels, mounting structures, installation tools, safety equipment."
K3,Connect Solar Panels to Inverters,1.3.2 Solar Panel Installation,K2,7,FS,Electricians,"Wiring, connectors, testing equipment."
L1,Procure Inverters,1.3.3 Inverter and Wiring Setup,K3,10,FS,Procurement Specialist,"Supplier databases, procurement software."
L2,Install Inverters,1.3.3 Inverter and Wiring Setup,L1,7,FS,Electricians,"Inverters, mounting equipment, testing tools."
L3,Install Electrical Wiring,1.3.3 Inverter and Wiring Setup,L2,14,FS,Electricians,"Wiring, conduits, electrical tools, safety equipment."
M1,Procure Battery Storage Systems,1.3.4 Battery Storage Integration,L3,10,FS,Procurement Specialist,"Supplier databases, procurement software."
M2,Install Battery Storage Systems,1.3.4 Battery Storage Integration,M1,7,FS,"Battery Technicians, Electricians","Batteries, racks, connection cables, safety equipment."
M3,Integrate Battery Storage with Inverters,1.3.4 Battery Storage Integration,M2,7,FS,Electricians,"Wiring, control systems, testing equipment."
N1,Obtain Grid Connection Permits,1.3.5 Grid Connection,M3,14,FS,Permitting Specialist,"Legal documents, application forms."
N2,Install Grid Connection Equipment,1.3.5 Grid Connection,N1,14,FS,"Electrical Engineers, Linemen","Transformers, switchgear, connection cables, safety equipment."
N3,Test Grid Connection,1.3.5 Grid Connection,N2,7,FS,"Electrical Engineers, Testing Technicians","Testing equipment, safety protocols."
V1,Test Solar Panel System,1.3.6 Initial Testing (Energy),N3,3,FS,Testing Technician,"Testing equipment, safety gear."
V2,Test Inverter and Battery System,1.3.6 Initial Testing (Energy),N3,3,FS,Testing Technician,"Testing equipment, safety gear."
V3,Test Grid Integration,1.3.6 Initial Testing (Energy),N3,3,FS,Testing Technician,"Testing equipment, safety gear."
O1,Design Water Treatment Plant,1.4.1 Water Treatment Plant Design,"D1, D2, D3",21,FS,Chemical Engineer,"CAD software, process simulation software."
P1,Develop Water Intake System,1.4.2 Water Intake System,O1,14,FS,Hydraulic Engineer,"CAD software, hydrological data."
Q1,Install Pre-Treatment Systems,1.4.3 Pre-Treatment Installation,P1,14,FS,"Construction Crew, Mechanical Installers","Pipes, tanks, filters, installation tools."
R1,Install Reverse Osmosis System,1.4.4 Reverse Osmosis System,Q1,21,FS,"Mechanical Installers, Technicians","RO membranes, pumps, pressure vessels, installation tools."
S1,Install Post-Treatment Systems,1.4.5 Post-Treatment and Storage,R1,14,FS,"Mechanical Installers, Chemical Handlers","Storage tanks, disinfection equipment, chemical dosing systems."
T1,Construct Water Distribution Network,1.4.6 Distribution Network,"S1, G4",21,FS,"Pipefitters, Construction Crew","Pipes, valves, trenching equipment."
W1,Test Water Treatment Process,1.4.7 Initial Testing (Water),T1,3,FS,Process Engineer,"Testing equipment, water quality analysis tools."
H1,Install Vertical Garden Structures,1.5.1 Vertical Garden Setup,F5,14,FS,"Construction Crew, Landscapers","Structures, framing, tools."
H2,Plant Vertical Gardens,1.5.1 Vertical Garden Setup,H1,14,FS,Gardeners,"Plants, soil, irrigation systems."
Y1,Conduct Ecosystem Health Assessment,1.5.2 Ecosystem Validation,"T1, H2",14,FS,Ecologist,"Monitoring equipment, data analysis software."
Y2,Implement Ecosystem Enhancements,1.5.2 Ecosystem Validation,Y1,14,FS,"Ecologists, Landscapers","Planting materials, habitat restoration tools."
Z1,Landscape Public Spaces,1.5.3 Landscaping and Aesthetics,"G4, Y2",21,FS,"Landscape Architects, Gardeners","Plants, hardscaping materials, landscaping equipment."
U1,Integrate Energy and Water Systems,1.6.1 System Integration,"V3, W1",14,FS,"Systems Integrator, Engineers","Control systems, communication networks."
U2,Integrate Transportation System,1.6.1 System Integration,I3,14,FS,"Transportation Engineers, Systems Integrators","Traffic management systems, signaling systems."
X1,Test Road Network,1.6.2 Transportation Testing,"I1, U2",7,FS,Traffic Engineer,"Testing equipment, safety gear."
X2,Test Walkways and Bike Paths,1.6.2 Transportation Testing,"I2, U2",7,FS,Transportation Planner,"Testing equipment, safety gear."
X3,Test Public Transit System,1.6.2 Transportation Testing,"I3, U2",7,FS,"Transit Engineer, Testing Crew","Testing equipment, safety protocols."
AA1,Implement Safety Measures,1.7.1 Safety and Accessibility,"F5, I3, Z1",7,FS,Safety Officer,"Safety equipment, signage."
AB1,Conduct Final Building Inspections,1.7.2 Final Inspections,"U1, V3, W1, X1, X2, X3, AA1",7,FS,"Inspectors, Engineers","Inspection tools, checklists."
AC1,Commission Eco-City Systems,1.7.3 Commissioning,AB1,7,FS,"Commissioning Team, Engineers","Testing equipment, control systems."
AD1,Develop Maintenance Plan,1.7.4 Maintenance Plan,AC1,14,FS,"Maintenance Planners, Engineers","Maintenance software, documentation templates."
